Gene stable ID,Gene stable ID version,Chromosome/scaffold name,Gene type
ENSMUSG00000104506,ENSMUSG00000104506.5,Y,lincRNA
ENSMUSG00000098966,ENSMUSG00000098966.1,Y,miRNA
ENSMUSG00000102913,ENSMUSG00000102913.1,Y,unprocessed_pseudogene
ENSMUSG00000103664,ENSMUSG00000103664.5,Y,lincRNA
ENSMUSG00000103005,ENSMUSG00000103005.1,Y,lincRNA
ENSMUSG00000103752,ENSMUSG00000103752.5,Y,lincRNA
ENSMUSG00000102551,ENSMUSG00000102551.1,Y,lincRNA
ENSMUSG00000102255,ENSMUSG00000102255.1,Y,unprocessed_pseudogene
ENSMUSG00000103365,ENSMUSG00000103365.1,Y,lincRNA
ENSMUSG00000103829,ENSMUSG00000103829.5,Y,lincRNA
ENSMUSG00000102668,ENSMUSG00000102668.1,Y,protein_coding
ENSMUSG00000104131,ENSMUSG00000104131.5,Y,lincRNA
ENSMUSG00000103023,ENSMUSG00000103023.1,Y,unprocessed_pseudogene
ENSMUSG00000103689,ENSMUSG00000103689.1,Y,unprocessed_pseudogene
ENSMUSG00000094294,ENSMUSG00000094294.2,Y,protein_coding
ENSMUSG00000093848,ENSMUSG00000093848.2,Y,protein_coding
ENSMUSG00000102429,ENSMUSG00000102429.5,Y,lincRNA
ENSMUSG00000102849,ENSMUSG00000102849.1,Y,unprocessed_pseudogene
ENSMUSG00000102513,ENSMUSG00000102513.1,Y,unprocessed_pseudogene
ENSMUSG00000102966,ENSMUSG00000102966.1,Y,unprocessed_pseudogene
ENSMUSG00000104425,ENSMUSG00000104425.5,Y,lincRNA
ENSMUSG00000102146,ENSMUSG00000102146.1,Y,lincRNA
ENSMUSG00000102159,ENSMUSG00000102159.1,Y,unprocessed_pseudogene
ENSMUSG00000102506,ENSMUSG00000102506.1,Y,unprocessed_pseudogene
ENSMUSG00000102826,ENSMUSG00000102826.1,Y,unprocessed_pseudogene
ENSMUSG00000102230,ENSMUSG00000102230.1,Y,unprocessed_pseudogene
ENSMUSG00000104345,ENSMUSG00000104345.5,Y,lincRNA
ENSMUSG00000102262,ENSMUSG00000102262.1,Y,unprocessed_pseudogene
ENSMUSG00000103528,ENSMUSG00000103528.1,Y,protein_coding
ENSMUSG00000102772,ENSMUSG00000102772.5,Y,lincRNA
ENSMUSG00000103425,ENSMUSG00000103425.1,Y,lincRNA
ENSMUSG00000102486,ENSMUSG00000102486.1,Y,unprocessed_pseudogene
ENSMUSG00000103250,ENSMUSG00000103250.1,Y,unprocessed_pseudogene
ENSMUSG00000103077,ENSMUSG00000103077.5,Y,lincRNA
ENSMUSG00000103787,ENSMUSG00000103787.1,Y,lincRNA
ENSMUSG00000103987,ENSMUSG00000103987.1,Y,unprocessed_pseudogene
ENSMUSG00000103063,ENSMUSG00000103063.1,Y,unprocessed_pseudogene
ENSMUSG00000102957,ENSMUSG00000102957.1,Y,unprocessed_pseudogene
ENSMUSG00000103269,ENSMUSG00000103269.1,Y,unprocessed_pseudogene
ENSMUSG00000103954,ENSMUSG00000103954.5,Y,lincRNA
ENSMUSG00000103894,ENSMUSG00000103894.1,Y,unprocessed_pseudogene
ENSMUSG00000103795,ENSMUSG00000103795.1,Y,unprocessed_pseudogene
ENSMUSG00000103919,ENSMUSG00000103919.1,Y,protein_coding
ENSMUSG00000103812,ENSMUSG00000103812.5,Y,lincRNA
ENSMUSG00000104259,ENSMUSG00000104259.1,Y,lincRNA
ENSMUSG00000102487,ENSMUSG00000102487.1,Y,unprocessed_pseudogene
ENSMUSG00000102847,ENSMUSG00000102847.1,Y,unprocessed_pseudogene
ENSMUSG00000103773,ENSMUSG00000103773.1,Y,lincRNA
ENSMUSG00000102347,ENSMUSG00000102347.1,Y,unprocessed_pseudogene
ENSMUSG00000104480,ENSMUSG00000104480.1,Y,unprocessed_pseudogene
ENSMUSG00000104062,ENSMUSG00000104062.5,Y,lincRNA
ENSMUSG00000103231,ENSMUSG00000103231.1,Y,unprocessed_pseudogene
ENSMUSG00000102318,ENSMUSG00000102318.1,Y,unprocessed_pseudogene
ENSMUSG00000103074,ENSMUSG00000103074.1,Y,unprocessed_pseudogene
ENSMUSG00000102965,ENSMUSG00000102965.1,Y,unprocessed_pseudogene
ENSMUSG00000104289,ENSMUSG00000104289.5,Y,lincRNA
ENSMUSG00000102730,ENSMUSG00000102730.1,Y,unprocessed_pseudogene
ENSMUSG00000102529,ENSMUSG00000102529.1,Y,unprocessed_pseudogene
ENSMUSG00000103589,ENSMUSG00000103589.5,Y,lincRNA
ENSMUSG00000102396,ENSMUSG00000102396.1,Y,lincRNA
ENSMUSG00000104247,ENSMUSG00000104247.1,Y,unprocessed_pseudogene
ENSMUSG00000104255,ENSMUSG00000104255.1,Y,unprocessed_pseudogene
ENSMUSG00000102598,ENSMUSG00000102598.1,Y,lincRNA
ENSMUSG00000102402,ENSMUSG00000102402.1,Y,unprocessed_pseudogene
ENSMUSG00000104228,ENSMUSG00000104228.1,Y,unprocessed_pseudogene
ENSMUSG00000103029,ENSMUSG00000103029.5,Y,lincRNA
ENSMUSG00000102239,ENSMUSG00000102239.1,Y,lincRNA
ENSMUSG00000103153,ENSMUSG00000103153.1,Y,processed_pseudogene
ENSMUSG00000103086,ENSMUSG00000103086.1,Y,unprocessed_pseudogene
ENSMUSG00000103327,ENSMUSG00000103327.1,Y,unprocessed_pseudogene
ENSMUSG00000104500,ENSMUSG00000104500.5,Y,lincRNA
ENSMUSG00000103236,ENSMUSG00000103236.1,Y,lincRNA
ENSMUSG00000102911,ENSMUSG00000102911.1,Y,unprocessed_pseudogene
ENSMUSG00000103008,ENSMUSG00000103008.1,Y,unprocessed_pseudogene
ENSMUSG00000103058,ENSMUSG00000103058.1,Y,unprocessed_pseudogene
ENSMUSG00000093868,ENSMUSG00000093868.2,Y,protein_coding
ENSMUSG00000102350,ENSMUSG00000102350.5,Y,lincRNA
ENSMUSG00000102993,ENSMUSG00000102993.1,Y,unprocessed_pseudogene
ENSMUSG00000103311,ENSMUSG00000103311.1,Y,unprocessed_pseudogene
ENSMUSG00000104070,ENSMUSG00000104070.1,Y,unprocessed_pseudogene
ENSMUSG00000103615,ENSMUSG00000103615.5,Y,lincRNA
ENSMUSG00000094911,ENSMUSG00000094911.1,Y,protein_coding
ENSMUSG00000104431,ENSMUSG00000104431.1,Y,lincRNA
ENSMUSG00000103758,ENSMUSG00000103758.1,Y,unprocessed_pseudogene
ENSMUSG00000104146,ENSMUSG00000104146.1,Y,unprocessed_pseudogene
ENSMUSG00000102507,ENSMUSG00000102507.1,Y,unprocessed_pseudogene
ENSMUSG00000102358,ENSMUSG00000102358.1,Y,unprocessed_pseudogene
ENSMUSG00000103977,ENSMUSG00000103977.5,Y,lincRNA
ENSMUSG00000102643,ENSMUSG00000102643.1,Y,lincRNA
ENSMUSG00000103064,ENSMUSG00000103064.1,Y,processed_pseudogene
ENSMUSG00000102842,ENSMUSG00000102842.1,Y,unprocessed_pseudogene
ENSMUSG00000103714,ENSMUSG00000103714.1,Y,unprocessed_pseudogene
ENSMUSG00000103660,ENSMUSG00000103660.5,Y,lincRNA
ENSMUSG00000094939,ENSMUSG00000094939.1,Y,protein_coding
ENSMUSG00000103982,ENSMUSG00000103982.1,Y,lincRNA
ENSMUSG00000102328,ENSMUSG00000102328.1,Y,unprocessed_pseudogene
ENSMUSG00000103487,ENSMUSG00000103487.1,Y,unprocessed_pseudogene
ENSMUSG00000103639,ENSMUSG00000103639.1,Y,unprocessed_pseudogene
ENSMUSG00000104085,ENSMUSG00000104085.1,Y,unprocessed_pseudogene
ENSMUSG00000102576,ENSMUSG00000102576.5,Y,lincRNA
ENSMUSG00000103372,ENSMUSG00000103372.1,Y,unprocessed_pseudogene
ENSMUSG00000102354,ENSMUSG00000102354.1,Y,unprocessed_pseudogene
ENSMUSG00000102906,ENSMUSG00000102906.1,Y,unprocessed_pseudogene
ENSMUSG00000103813,ENSMUSG00000103813.5,Y,lincRNA
ENSMUSG00000104412,ENSMUSG00000104412.1,Y,lincRNA
ENSMUSG00000104321,ENSMUSG00000104321.1,Y,unprocessed_pseudogene
ENSMUSG00000103892,ENSMUSG00000103892.1,Y,unprocessed_pseudogene
ENSMUSG00000103969,ENSMUSG00000103969.1,Y,unprocessed_pseudogene
ENSMUSG00000102339,ENSMUSG00000102339.1,Y,unprocessed_pseudogene
ENSMUSG00000102977,ENSMUSG00000102977.5,Y,lincRNA
ENSMUSG00000102547,ENSMUSG00000102547.1,Y,lincRNA
ENSMUSG00000103675,ENSMUSG00000103675.1,Y,unprocessed_pseudogene
ENSMUSG00000103842,ENSMUSG00000103842.1,Y,lincRNA
ENSMUSG00000104024,ENSMUSG00000104024.1,Y,unprocessed_pseudogene
ENSMUSG00000103462,ENSMUSG00000103462.5,Y,lincRNA
ENSMUSG00000101467,ENSMUSG00000101467.1,Y,unprocessed_pseudogene
ENSMUSG00000101260,ENSMUSG00000101260.1,Y,unprocessed_pseudogene
ENSMUSG00000101105,ENSMUSG00000101105.1,Y,unprocessed_pseudogene
ENSMUSG00000099346,ENSMUSG00000099346.1,Y,unprocessed_pseudogene
ENSMUSG00000101513,ENSMUSG00000101513.6,Y,lincRNA
ENSMUSG00000101809,ENSMUSG00000101809.1,Y,lincRNA
ENSMUSG00000099841,ENSMUSG00000099841.1,Y,unprocessed_pseudogene
ENSMUSG00000099573,ENSMUSG00000099573.1,Y,unprocessed_pseudogene
ENSMUSG00000102104,ENSMUSG00000102104.1,Y,lincRNA
ENSMUSG00000100055,ENSMUSG00000100055.1,Y,protein_coding
ENSMUSG00000101929,ENSMUSG00000101929.6,Y,lincRNA
ENSMUSG00000101971,ENSMUSG00000101971.1,Y,lincRNA
ENSMUSG00000101839,ENSMUSG00000101839.1,Y,unprocessed_pseudogene
ENSMUSG00000102010,ENSMUSG00000102010.1,Y,unprocessed_pseudogene
ENSMUSG00000101149,ENSMUSG00000101149.1,Y,unprocessed_pseudogene
ENSMUSG00000101743,ENSMUSG00000101743.6,Y,lincRNA
ENSMUSG00000101311,ENSMUSG00000101311.1,Y,lincRNA
ENSMUSG00000100803,ENSMUSG00000100803.1,Y,unprocessed_pseudogene
ENSMUSG00000100873,ENSMUSG00000100873.1,Y,unprocessed_pseudogene
ENSMUSG00000101692,ENSMUSG00000101692.1,Y,lincRNA
ENSMUSG00000100464,ENSMUSG00000100464.1,Y,unprocessed_pseudogene
ENSMUSG00000102015,ENSMUSG00000102015.1,Y,unprocessed_pseudogene
ENSMUSG00000101198,ENSMUSG00000101198.6,Y,lincRNA
ENSMUSG00000099955,ENSMUSG00000099955.1,Y,lincRNA
ENSMUSG00000099873,ENSMUSG00000099873.1,Y,unprocessed_pseudogene
ENSMUSG00000099541,ENSMUSG00000099541.1,Y,protein_coding
ENSMUSG00000101920,ENSMUSG00000101920.6,Y,lincRNA
ENSMUSG00000099430,ENSMUSG00000099430.1,Y,lincRNA
ENSMUSG00000100099,ENSMUSG00000100099.1,Y,unprocessed_pseudogene
ENSMUSG00000100495,ENSMUSG00000100495.1,Y,unprocessed_pseudogene
ENSMUSG00000100413,ENSMUSG00000100413.1,Y,unprocessed_pseudogene
ENSMUSG00000100570,ENSMUSG00000100570.6,Y,lincRNA
ENSMUSG00000101863,ENSMUSG00000101863.1,Y,unprocessed_pseudogene
ENSMUSG00000099727,ENSMUSG00000099727.1,Y,unprocessed_pseudogene
ENSMUSG00000099791,ENSMUSG00000099791.1,Y,unprocessed_pseudogene
ENSMUSG00000101473,ENSMUSG00000101473.1,Y,unprocessed_pseudogene
ENSMUSG00000101753,ENSMUSG00000101753.1,Y,lincRNA
ENSMUSG00000101484,ENSMUSG00000101484.1,Y,lincRNA
ENSMUSG00000100587,ENSMUSG00000100587.1,Y,unprocessed_pseudogene
ENSMUSG00000099828,ENSMUSG00000099828.1,Y,unprocessed_pseudogene
ENSMUSG00000101158,ENSMUSG00000101158.1,Y,protein_coding
ENSMUSG00000099537,ENSMUSG00000099537.6,Y,lincRNA
ENSMUSG00000101669,ENSMUSG00000101669.1,Y,unprocessed_pseudogene
ENSMUSG00000099862,ENSMUSG00000099862.1,Y,unprocessed_pseudogene
ENSMUSG00000101908,ENSMUSG00000101908.1,Y,unprocessed_pseudogene
ENSMUSG00000100473,ENSMUSG00000100473.1,Y,unprocessed_pseudogene
ENSMUSG00000101192,ENSMUSG00000101192.6,Y,lincRNA
ENSMUSG00000101607,ENSMUSG00000101607.1,Y,unprocessed_pseudogene
ENSMUSG00000101418,ENSMUSG00000101418.1,Y,unprocessed_pseudogene
ENSMUSG00000099431,ENSMUSG00000099431.1,Y,lincRNA
ENSMUSG00000101837,ENSMUSG00000101837.1,Y,unprocessed_pseudogene
ENSMUSG00000100233,ENSMUSG00000100233.1,Y,unprocessed_pseudogene
ENSMUSG00000100859,ENSMUSG00000100859.6,Y,lincRNA
ENSMUSG00000099653,ENSMUSG00000099653.1,Y,lincRNA
ENSMUSG00000100875,ENSMUSG00000100875.6,Y,lincRNA
ENSMUSG00000100117,ENSMUSG00000100117.1,Y,lincRNA
ENSMUSG00000101305,ENSMUSG00000101305.1,Y,processed_pseudogene
ENSMUSG00000099650,ENSMUSG00000099650.6,Y,lincRNA
ENSMUSG00000101560,ENSMUSG00000101560.6,Y,lincRNA
ENSMUSG00000101954,ENSMUSG00000101954.1,Y,lincRNA
ENSMUSG00000096538,ENSMUSG00000096538.2,Y,unprocessed_pseudogene
ENSMUSG00000099348,ENSMUSG00000099348.1,Y,lincRNA
ENSMUSG00000099380,ENSMUSG00000099380.6,Y,lincRNA
ENSMUSG00000101412,ENSMUSG00000101412.6,Y,lincRNA
ENSMUSG00000118461,ENSMUSG00000118461.1,Y,transcribed_unprocessed_pseudogene
ENSMUSG00000099817,ENSMUSG00000099817.1,Y,unprocessed_pseudogene
ENSMUSG00000099880,ENSMUSG00000099880.1,Y,lincRNA
ENSMUSG00000101642,ENSMUSG00000101642.6,Y,lincRNA
ENSMUSG00000101719,ENSMUSG00000101719.1,Y,lincRNA
ENSMUSG00000100896,ENSMUSG00000100896.1,Y,lincRNA
ENSMUSG00000099347,ENSMUSG00000099347.1,Y,unprocessed_pseudogene
ENSMUSG00000101379,ENSMUSG00000101379.1,Y,lincRNA
ENSMUSG00000100565,ENSMUSG00000100565.6,Y,lincRNA
ENSMUSG00000101489,ENSMUSG00000101489.1,Y,unprocessed_pseudogene
ENSMUSG00000100038,ENSMUSG00000100038.1,Y,lincRNA
ENSMUSG00000100415,ENSMUSG00000100415.6,Y,lincRNA
ENSMUSG00000101775,ENSMUSG00000101775.6,Y,lincRNA
ENSMUSG00000100321,ENSMUSG00000100321.1,Y,lincRNA
ENSMUSG00000100467,ENSMUSG00000100467.1,Y,protein_coding
ENSMUSG00000095192,ENSMUSG00000095192.2,Y,lincRNA
ENSMUSG00000100311,ENSMUSG00000100311.6,Y,lincRNA
ENSMUSG00000094232,ENSMUSG00000094232.2,Y,lincRNA
ENSMUSG00000099990,ENSMUSG00000099990.6,Y,lincRNA
ENSMUSG00000101527,ENSMUSG00000101527.1,Y,unprocessed_pseudogene
ENSMUSG00000096698,ENSMUSG00000096698.2,Y,lincRNA
ENSMUSG00000099855,ENSMUSG00000099855.6,Y,lincRNA
ENSMUSG00000094623,ENSMUSG00000094623.2,Y,unprocessed_pseudogene
ENSMUSG00000100928,ENSMUSG00000100928.6,Y,lincRNA
ENSMUSG00000100384,ENSMUSG00000100384.1,Y,unprocessed_pseudogene
ENSMUSG00000099695,ENSMUSG00000099695.6,Y,lincRNA
ENSMUSG00000100399,ENSMUSG00000100399.6,Y,lincRNA
ENSMUSG00000094789,ENSMUSG00000094789.7,Y,protein_coding
ENSMUSG00000094444,ENSMUSG00000094444.2,Y,lincRNA
ENSMUSG00000101423,ENSMUSG00000101423.6,Y,lincRNA
ENSMUSG00000095626,ENSMUSG00000095626.2,Y,lincRNA
ENSMUSG00000101761,ENSMUSG00000101761.6,Y,lincRNA
ENSMUSG00000099493,ENSMUSG00000099493.1,Y,unprocessed_pseudogene
ENSMUSG00000096777,ENSMUSG00000096777.2,Y,lincRNA
ENSMUSG00000100739,ENSMUSG00000100739.6,Y,lincRNA
ENSMUSG00000095345,ENSMUSG00000095345.2,Y,lincRNA
ENSMUSG00000100709,ENSMUSG00000100709.6,Y,lincRNA
ENSMUSG00000095968,ENSMUSG00000095968.2,Y,lincRNA
ENSMUSG00000101779,ENSMUSG00000101779.6,Y,lincRNA
ENSMUSG00000094529,ENSMUSG00000094529.2,Y,unprocessed_pseudogene
ENSMUSG00000101745,ENSMUSG00000101745.6,Y,lincRNA
ENSMUSG00000100957,ENSMUSG00000100957.6,Y,lincRNA
ENSMUSG00000099756,ENSMUSG00000099756.1,Y,lincRNA
ENSMUSG00000095263,ENSMUSG00000095263.7,Y,protein_coding
ENSMUSG00000096272,ENSMUSG00000096272.2,Y,lincRNA
ENSMUSG00000099426,ENSMUSG00000099426.6,Y,lincRNA
ENSMUSG00000096711,ENSMUSG00000096711.2,Y,lincRNA
ENSMUSG00000101728,ENSMUSG00000101728.6,Y,lincRNA
ENSMUSG00000100509,ENSMUSG00000100509.1,Y,unprocessed_pseudogene
ENSMUSG00000095553,ENSMUSG00000095553.2,Y,lincRNA
ENSMUSG00000101099,ENSMUSG00000101099.6,Y,lincRNA
ENSMUSG00000095049,ENSMUSG00000095049.2,Y,unprocessed_pseudogene
ENSMUSG00000101601,ENSMUSG00000101601.1,Y,lincRNA
ENSMUSG00000101516,ENSMUSG00000101516.6,Y,lincRNA
ENSMUSG00000101359,ENSMUSG00000101359.1,Y,unprocessed_pseudogene
ENSMUSG00000100790,ENSMUSG00000100790.6,Y,lincRNA
ENSMUSG00000101302,ENSMUSG00000101302.6,Y,lincRNA
ENSMUSG00000102125,ENSMUSG00000102125.6,Y,lincRNA
ENSMUSG00000095011,ENSMUSG00000095011.7,Y,protein_coding
ENSMUSG00000094064,ENSMUSG00000094064.2,Y,lincRNA
ENSMUSG00000099461,ENSMUSG00000099461.6,Y,lincRNA
ENSMUSG00000096532,ENSMUSG00000096532.2,Y,lincRNA
ENSMUSG00000101681,ENSMUSG00000101681.6,Y,lincRNA
ENSMUSG00000101870,ENSMUSG00000101870.1,Y,unprocessed_pseudogene
ENSMUSG00000101472,ENSMUSG00000101472.1,Y,lincRNA
ENSMUSG00000101407,ENSMUSG00000101407.6,Y,lincRNA
ENSMUSG00000099500,ENSMUSG00000099500.1,Y,lincRNA
ENSMUSG00000100097,ENSMUSG00000100097.6,Y,lincRNA
ENSMUSG00000101474,ENSMUSG00000101474.1,Y,lincRNA
ENSMUSG00000099737,ENSMUSG00000099737.6,Y,lincRNA
ENSMUSG00000101417,ENSMUSG00000101417.1,Y,unprocessed_pseudogene
ENSMUSG00000101654,ENSMUSG00000101654.1,Y,lincRNA
ENSMUSG00000101808,ENSMUSG00000101808.1,Y,lincRNA
ENSMUSG00000099910,ENSMUSG00000099910.1,Y,unprocessed_pseudogene
ENSMUSG00000099818,ENSMUSG00000099818.1,Y,unprocessed_pseudogene
ENSMUSG00000100500,ENSMUSG00000100500.1,Y,lincRNA
ENSMUSG00000100677,ENSMUSG00000100677.1,Y,unprocessed_pseudogene
ENSMUSG00000100171,ENSMUSG00000100171.1,Y,unprocessed_pseudogene
ENSMUSG00000099463,ENSMUSG00000099463.6,Y,lincRNA
ENSMUSG00000100745,ENSMUSG00000100745.1,Y,lincRNA
ENSMUSG00000101341,ENSMUSG00000101341.1,Y,unprocessed_pseudogene
ENSMUSG00000100193,ENSMUSG00000100193.1,Y,unprocessed_pseudogene
ENSMUSG00000099651,ENSMUSG00000099651.1,Y,lincRNA
ENSMUSG00000101787,ENSMUSG00000101787.1,Y,unprocessed_pseudogene
ENSMUSG00000101043,ENSMUSG00000101043.1,Y,unprocessed_pseudogene
ENSMUSG00000099390,ENSMUSG00000099390.6,Y,lincRNA
ENSMUSG00000100422,ENSMUSG00000100422.1,Y,lincRNA
ENSMUSG00000100385,ENSMUSG00000100385.1,Y,processed_pseudogene
ENSMUSG00000100064,ENSMUSG00000100064.1,Y,unprocessed_pseudogene
ENSMUSG00000095793,ENSMUSG00000095793.7,Y,protein_coding
ENSMUSG00000101626,ENSMUSG00000101626.6,Y,lincRNA
ENSMUSG00000101091,ENSMUSG00000101091.1,Y,lincRNA
ENSMUSG00000100229,ENSMUSG00000100229.1,Y,unprocessed_pseudogene
ENSMUSG00000101691,ENSMUSG00000101691.1,Y,unprocessed_pseudogene
ENSMUSG00000100540,ENSMUSG00000100540.1,Y,unprocessed_pseudogene
ENSMUSG00000100244,ENSMUSG00000100244.1,Y,unprocessed_pseudogene
ENSMUSG00000099799,ENSMUSG00000099799.6,Y,lincRNA
ENSMUSG00000099999,ENSMUSG00000099999.1,Y,unprocessed_pseudogene
ENSMUSG00000101806,ENSMUSG00000101806.1,Y,unprocessed_pseudogene
ENSMUSG00000101632,ENSMUSG00000101632.1,Y,lincRNA
ENSMUSG00000099525,ENSMUSG00000099525.1,Y,unprocessed_pseudogene
ENSMUSG00000100749,ENSMUSG00000100749.1,Y,unprocessed_pseudogene
ENSMUSG00000099963,ENSMUSG00000099963.6,Y,lincRNA
ENSMUSG00000100299,ENSMUSG00000100299.1,Y,unprocessed_pseudogene
ENSMUSG00000101127,ENSMUSG00000101127.1,Y,lincRNA
ENSMUSG00000096650,ENSMUSG00000096650.7,Y,protein_coding
ENSMUSG00000102058,ENSMUSG00000102058.6,Y,lincRNA
ENSMUSG00000100034,ENSMUSG00000100034.1,Y,lincRNA
ENSMUSG00000099589,ENSMUSG00000099589.1,Y,unprocessed_pseudogene
ENSMUSG00000100263,ENSMUSG00000100263.1,Y,unprocessed_pseudogene
ENSMUSG00000101575,ENSMUSG00000101575.1,Y,unprocessed_pseudogene
ENSMUSG00000100785,ENSMUSG00000100785.1,Y,unprocessed_pseudogene
ENSMUSG00000099822,ENSMUSG00000099822.6,Y,lincRNA
ENSMUSG00000101781,ENSMUSG00000101781.1,Y,lincRNA
ENSMUSG00000101271,ENSMUSG00000101271.1,Y,unprocessed_pseudogene
ENSMUSG00000099504,ENSMUSG00000099504.1,Y,unprocessed_pseudogene
ENSMUSG00000101377,ENSMUSG00000101377.1,Y,lincRNA
ENSMUSG00000101709,ENSMUSG00000101709.1,Y,unprocessed_pseudogene
ENSMUSG00000099814,ENSMUSG00000099814.6,Y,lincRNA
ENSMUSG00000100316,ENSMUSG00000100316.1,Y,unprocessed_pseudogene
ENSMUSG00000101284,ENSMUSG00000101284.1,Y,lincRNA
ENSMUSG00000100651,ENSMUSG00000100651.1,Y,lincRNA
ENSMUSG00000101933,ENSMUSG00000101933.1,Y,protein_coding
ENSMUSG00000100647,ENSMUSG00000100647.6,Y,lincRNA
ENSMUSG00000101815,ENSMUSG00000101815.1,Y,lincRNA
ENSMUSG00000101538,ENSMUSG00000101538.1,Y,unprocessed_pseudogene
ENSMUSG00000100983,ENSMUSG00000100983.1,Y,unprocessed_pseudogene
ENSMUSG00000101820,ENSMUSG00000101820.1,Y,lincRNA
ENSMUSG00000100283,ENSMUSG00000100283.1,Y,unprocessed_pseudogene
ENSMUSG00000099832,ENSMUSG00000099832.1,Y,lincRNA
ENSMUSG00000101246,ENSMUSG00000101246.1,Y,unprocessed_pseudogene
ENSMUSG00000101382,ENSMUSG00000101382.1,Y,unprocessed_pseudogene
ENSMUSG00000099967,ENSMUSG00000099967.1,Y,lincRNA
ENSMUSG00000101161,ENSMUSG00000101161.1,Y,unprocessed_pseudogene
ENSMUSG00000100705,ENSMUSG00000100705.1,Y,unprocessed_pseudogene
ENSMUSG00000101157,ENSMUSG00000101157.1,Y,protein_coding
ENSMUSG00000099712,ENSMUSG00000099712.1,Y,unprocessed_pseudogene
ENSMUSG00000099586,ENSMUSG00000099586.1,Y,unprocessed_pseudogene
ENSMUSG00000100066,ENSMUSG00000100066.1,Y,unprocessed_pseudogene
ENSMUSG00000101879,ENSMUSG00000101879.1,Y,lincRNA
ENSMUSG00000099412,ENSMUSG00000099412.1,Y,processed_pseudogene
ENSMUSG00000101831,ENSMUSG00000101831.1,Y,unprocessed_pseudogene
ENSMUSG00000100428,ENSMUSG00000100428.1,Y,unprocessed_pseudogene
ENSMUSG00000099601,ENSMUSG00000099601.1,Y,lincRNA
ENSMUSG00000101704,ENSMUSG00000101704.1,Y,unprocessed_pseudogene
ENSMUSG00000101349,ENSMUSG00000101349.1,Y,unprocessed_pseudogene
ENSMUSG00000101710,ENSMUSG00000101710.1,Y,unprocessed_pseudogene
ENSMUSG00000094575,ENSMUSG00000094575.2,Y,protein_coding
ENSMUSG00000100952,ENSMUSG00000100952.1,Y,lincRNA
ENSMUSG00000099730,ENSMUSG00000099730.1,Y,lincRNA
ENSMUSG00000101873,ENSMUSG00000101873.1,Y,unprocessed_pseudogene
ENSMUSG00000100203,ENSMUSG00000100203.1,Y,unprocessed_pseudogene
ENSMUSG00000099460,ENSMUSG00000099460.1,Y,unprocessed_pseudogene
ENSMUSG00000099807,ENSMUSG00000099807.1,Y,lincRNA
ENSMUSG00000101435,ENSMUSG00000101435.1,Y,lincRNA
ENSMUSG00000100883,ENSMUSG00000100883.1,Y,unprocessed_pseudogene
ENSMUSG00000100892,ENSMUSG00000100892.1,Y,protein_coding
ENSMUSG00000101050,ENSMUSG00000101050.1,Y,lincRNA
ENSMUSG00000099793,ENSMUSG00000099793.1,Y,lincRNA
ENSMUSG00000100699,ENSMUSG00000100699.1,Y,unprocessed_pseudogene
ENSMUSG00000096438,ENSMUSG00000096438.3,Y,processed_pseudogene
ENSMUSG00000099351,ENSMUSG00000099351.1,Y,unprocessed_pseudogene
ENSMUSG00000099489,ENSMUSG00000099489.1,Y,unprocessed_pseudogene
ENSMUSG00000100845,ENSMUSG00000100845.1,Y,unprocessed_pseudogene
ENSMUSG00000096275,ENSMUSG00000096275.2,Y,unprocessed_pseudogene
ENSMUSG00000101771,ENSMUSG00000101771.6,Y,lincRNA
ENSMUSG00000100719,ENSMUSG00000100719.1,Y,lincRNA
ENSMUSG00000101740,ENSMUSG00000101740.6,Y,lincRNA
ENSMUSG00000101292,ENSMUSG00000101292.1,Y,unprocessed_pseudogene
ENSMUSG00000100588,ENSMUSG00000100588.1,Y,lincRNA
ENSMUSG00000102050,ENSMUSG00000102050.1,Y,unprocessed_pseudogene
ENSMUSG00000101040,ENSMUSG00000101040.6,Y,lincRNA
ENSMUSG00000101272,ENSMUSG00000101272.1,Y,lincRNA
ENSMUSG00000101633,ENSMUSG00000101633.1,Y,lincRNA
ENSMUSG00000101727,ENSMUSG00000101727.1,Y,unprocessed_pseudogene
ENSMUSG00000101124,ENSMUSG00000101124.1,Y,unprocessed_pseudogene
ENSMUSG00000099723,ENSMUSG00000099723.1,Y,lincRNA
ENSMUSG00000104381,ENSMUSG00000104381.1,Y,TEC
ENSMUSG00000093895,ENSMUSG00000093895.7,Y,protein_coding
ENSMUSG00000100043,ENSMUSG00000100043.1,Y,lincRNA
ENSMUSG00000099786,ENSMUSG00000099786.6,Y,lincRNA
ENSMUSG00000094354,ENSMUSG00000094354.1,Y,protein_coding
ENSMUSG00000095725,ENSMUSG00000095725.2,Y,lincRNA
ENSMUSG00000100900,ENSMUSG00000100900.6,Y,lincRNA
ENSMUSG00000095433,ENSMUSG00000095433.2,Y,lincRNA
ENSMUSG00000100508,ENSMUSG00000100508.6,Y,lincRNA
ENSMUSG00000100771,ENSMUSG00000100771.1,Y,processed_pseudogene
ENSMUSG00000101090,ENSMUSG00000101090.6,Y,lincRNA
ENSMUSG00000100644,ENSMUSG00000100644.1,Y,unprocessed_pseudogene
ENSMUSG00000098868,ENSMUSG00000098868.1,Y,miRNA
ENSMUSG00000099228,ENSMUSG00000099228.1,Y,miRNA
